id,brand,car_model,type,desc,problem,datetime,status
573680,一汽丰田,RAV4荣放,2020款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田RAV4荣放发动机机油增多,"A339,",2021-02-22,信息审核
573679,领克,领克05,2020款 2.0TD 四驱 劲Halo,领克05高速行驶时方向盘震动异常,"D80,",2021-02-22,信息审核
573678,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度左后翼子板出现锈蚀,"H79,",2021-02-22,厂家受理
573677,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越变速箱换挡异响厂家一直不解决,"B33,I295,",2021-02-22,信息审核
573675,吉利汽车,豪越,2020款 1.8TD DCT 豪华型 5座,吉利豪越购车后不能异地做首保,"L314,",2021-02-22,信息审核
573674,上汽通用五菱,乐驰,2008款 1.0L 手动 豪华型,宝骏乐驰维修后车轮定位不准 ABS故障报警,"E74,G225,I295,J300,",2021-02-22,信息审核
573673,长城汽车,哈弗H2,2016款 1.5T 自动 两驱豪华型,哈弗H2减震器异响一直维修未解决,"A24,G52,",2021-02-22,信息审核
573671,路虎进口,揽胜星脉,2020款 P250 R-DYNAMIC S,进口路虎揽胜星脉行驶时车内有低频噪音,"H164,",2021-02-22,信息审核
573670,长城汽车,WEY VV5,2019款 2.0T 两驱 终结版,WEY VV5车辆后轮两个轮胎吃胎严重,"G245,",2021-02-22,信息审核
573668,长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2行驶时底盘出现严重异响,"G56,",2021-02-22,信息审核
573667,领克,领克03,2019款 2.0TD 自动 劲版,领克03出现电瓶亏电打不着火现象,"H146,",2021-02-22,信息审核
573661,一汽丰田,卡罗拉,2017款 1.2T CVT GL-i,一汽丰田卡罗拉上锁后警报器不定时响,"H119,H197,",2021-02-22,信息审核
573660,广汽丰田,雷凌,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌减震器漏油希望尽快处理,"G25,",2021-02-22,信息审核
573659,上汽大众斯柯达,柯迪亚克,2018款 TSI330 两驱 舒适版 5座 改款,斯柯达柯迪亚克转向异响起步异响门把手异响,"B33,D59,H233,",2021-02-22,信息审核
573656,上汽大众斯柯达,速派,2013款 1.4T DSG 名仕版,斯柯达速派车内异味一直非常严重,"H185,",2021-02-22,信息审核
573655,保时捷,Macan,2018款 Macan 2.0T,保时捷Macan车灯开裂质保期不给保修,"H220,",2021-02-22,信息审核
573653,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯进水厂家不予索赔,"H88,I297,",2021-02-22,信息审核
573652,东风本田,本田CR-V,2016款 2.0L 两驱 都市版,东风本田CR-V变速箱漏油希望尽快处理,"B22,",2021-02-22,信息审核
573650,广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞仪表台老化粘手希望处理,"H176,",2021-02-22,信息审核
573649,东风本田,杰德,2017款 1.8L 自动 舒适版 5座,东风本田杰德优科豪马轮胎起皮开裂,"F100,F186,",2021-02-22,信息审核
573648,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙点火启动后出现异响,"A9,",2021-02-22,信息审核
573645,大众（进口）,途锐,2020款 2.0TSI 锐尚版 国VI,进口大众途锐实车配置与宣传不符,"M279,",2021-02-22,信息审核
573641,一汽-大众,速腾,2014款 1.4TSI 手动 豪华型 改款,一汽大众速腾车身稳定和ABS故障一直未解决,"E74,H170,",2021-02-22,信息审核
573640,大众（进口）,蔚揽新能源,2019款 GTE,进口大众蔚揽新能源售后维修时间过长,"L312,",2021-02-22,信息审核
573638,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞两侧半轴防尘套漏油,"G161,",2021-02-22,信息审核
573637,长城汽车,风骏7,2019款 2.0T 柴油 两驱 超值型 国VI 大双 GW4D20M,长城风骏7发动机涡轮增压器损坏 不予质保,"A189,I297,",2021-02-22,厂家受理
573634,长安福特,探险者,2020款 EcoBoost 285 四驱 风尚版 7座,长安福特探险者转向机异响更换两次未解决,"D59,J298,",2021-02-22,厂家受理
573633,广汽丰田,凯美瑞,2019款 改款 2.0G 豪华版,广汽丰田凯美瑞水箱划痕 行驶时异响,"A9,A191,B33,I294,J301,",2021-02-22,信息审核
573632,上汽大通,上汽大通MAXUS V90,2020款 2.0T 手动 运杰版 前驱 后单胎 长轴 高顶 7座,上汽大通MAXUS V90行驶时跑偏变速箱打齿,"A9,C65,G117,",2021-02-22,信息审核
573626,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来冷车启动打转向时异响,"D59,",2021-02-22,信息审核
573623,广汽讴歌,讴歌TLX-L,2018款 2.4L 尊享版,广汽讴歌TLX-L轮毂问题导致轮胎漏气,"H243,",2021-02-22,处理反馈
573620,宝马（进口）,宝马X4,2020款 xDrive25i M运动套装,进口宝马X4变速箱阀体损坏 制动故障灯亮,"B184,E62,",2021-02-22,信息审核
573615,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障,"B115,",2021-02-22,信息审核
573612,吉利汽车,帝豪GL,2018款 1.8L 手动 精英智联型,吉利帝豪GL车门生锈异响严重希望处理,"H79,H72,",2021-02-22,信息审核
573611,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机熄火VTC执行器开裂,"A14,",2021-02-22,厂家受理
573606,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国V,一汽大众迈腾音响重低音时门板共振异响,"H134,H72,",2021-02-22,信息审核
573603,上汽大众斯柯达,柯迪亚克,2017款 TSI330 两驱 豪华版 5座,斯柯达柯迪亚克变速箱紧急状态无法挂倒挡,"B20,B96,",2021-02-22,信息审核
573600,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾刹车盘异常磨损刹车时异响,"E43,E47,",2021-02-22,信息审核
573596,一汽-大众,速腾,2015款 230TSI  自动 舒适型,一汽大众速腾轮速传感器故障导致故障灯亮,"H203,",2021-02-22,信息审核
573593,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达车门胶条开裂 车顶有异响,"H15,H48,",2021-02-22,信息审核
573591,东风悦达起亚,起亚K3,2016款 1.6L 自动 GLS,东风悦达起亚K3方向管柱异响厂家拒绝更换,"D59,I297,",2021-02-22,信息审核
573590,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱机电单元故障希望处理,"B115,",2021-02-22,信息审核
573587,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 7座 国VI,广汽三菱欧蓝德敲缸爆震升级两次未解决,"A9,A18,B69,J298,",2021-02-22,厂家受理
573586,北京奔驰,奔驰GLC,2017款 300 4MATIC 动感型,北京奔驰GLC空调一侧出冷风另一侧出热风,"H101,",2021-02-22,信息审核
573585,广汽本田,皓影,2020款 240TURBO CVT 两驱 尊贵版,广汽本田皓影4S店违约延期交车 加收费用,"K307,L311,",2021-02-22,厂家受理
573584,长安汽车,长安CS55,2018款 1.5T 手动 炫色型 国V,长安CS55经销商保养发动机内部油泥严重,"N317,",2021-02-22,信息审核
573582,长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯冷凝器泄漏导致不制冷,"H101,",2021-02-22,厂家受理
573580,昌河铃木,北斗星,2015款 1.4L 全能升级型,昌河铃木北斗星车身及后翼子板生锈严重,"H79,",2021-02-22,厂家受理
573576,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机电子水温传感器损坏,"A191,",2021-02-22,信息审核
573574,吉利汽车,缤越,2020款 PRO 260T DCT Battle,吉利缤越提不到车4S店销售承诺未兑现,"L313,L312,L311,",2021-02-22,处理反馈
573569,林肯（进口）,林肯MKX,2017款 2.0T 两驱 尊享版,林肯MKX防动液渗入气缸导致发动机失火,"A24,A37,",2021-02-22,信息审核
573568,东风风行,风行T5L,2019款 1.5T CVT 豪华型 7座,东风风行T5L变速器故障导致车辆无法行驶,"B334,",2021-02-22,处理反馈
573567,宝马（进口）,宝马X4,2020款 xDrive25i M运动套装,进口宝马X4变速箱阀体损坏故障灯亮,"B96,B84,",2021-02-22,用户评分
573565,北京现代,途胜,2019款 280TGDi 双离合 两驱 智联版 国V,北京现代途胜多处异响 变速箱异响 饰板开裂,"B33,H168,H15,M283,",2021-02-22,信息审核
573563,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳变速箱拖挡共振 车身抖动,"B95,B69,",2021-02-22,处理反馈
573561,奇瑞汽车,风云2,2015款 1.5L 手动 新锐版,奇瑞风云2车身多处生锈希望尽快处理,"H79,",2021-02-22,处理反馈
573560,上汽集团,名爵6新能源,2020款 1.5T 混动领潮豪华版,上汽名爵6新能源气囊故障灯报警希望处理,"H103,",2021-02-22,厂家受理
573558,东南汽车,东南DX3,2016款 1.5L SRG 手动 尊贵型,东南DX3中控台及四个车门异响严重,"D59,H72,H93,",2021-02-22,信息审核
573557,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联不能使用升级未解决	,"H155,M279,",2021-02-22,厂家受理
573552,东风标致,标致408,2014款 1.8L 手动 领先版,东风标致408发动机烧机油影响正常用车,"A63,",2021-02-22,信息审核
573551,长安福特,锐际,2020款 EcoBoost 245 四驱 纵享款 ST-LINE,长安福特锐际右后刹车异响 全景影像蓝屏,"E43,H134,",2021-02-22,处理反馈
573549,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪耀版,奇瑞瑞虎8 PLUS中控台与车门有异响,"H72,H93,",2021-02-22,处理反馈
573547,长城汽车,哈弗H2,2017款 1.5T 手动 两驱豪华型 红标,哈弗H2 4S店维修转向系统损坏转向轴防尘罩,"J300,",2021-02-22,厂家受理
573546,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度起动机故障无法启动,"A44,",2021-02-22,处理反馈
573545,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮透镜裂痕雨刮异响,"H82,H60,H220,",2021-02-22,处理反馈
573544,江淮汽车,江淮iEV6E,2019款 运动版 iEV6E 豪华智能型 精装版,江淮iEV6E质保期内维修4S店不予提供代步车,"L314,",2021-02-22,处理反馈
573542,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 智尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,"G161,",2021-02-22,信息审核
573541,青岛解放,GH6,燃气牵引车,青岛解放GH6耗气量严重超标希望尽快处理,"A85,",2021-02-22,信息审核
573540,广汽丰田,雷凌,2021款 185T CVT 豪华版,广汽丰田雷凌4S店销售赠送加油卡与宣传不符,"L313,M279,",2021-02-22,信息审核
573539,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障4S店不保修,"B84,",2021-02-22,处理反馈
573538,一汽-大众,速腾,2015款 230TSI  自动 豪华型,一汽大众速腾发动机高压油泵异响厂家不解决,"A9,",2021-02-22,用户评分
573534,长城汽车,欧拉黑猫,2019款 女神版 351km,欧拉黑猫车内异味严重影响身体健康,"H185,",2021-02-22,厂家受理
573533,华晨中华,中华V7,2018款 280T DCT 豪华型 7座,华晨中华V7节气门故障厂家无配件,"A34,H170,N318,",2021-02-22,信息审核
573532,东风日产,启辰T60,2020款 1.6L CVT 智行版 国VI,东风日产启辰T60行驶时向右跑偏方向盘沉重,"D156,G117,",2021-02-22,信息审核
573529,凯翼汽车,凯翼X3,2018款 1.6L CVT 智享版 国V,凯翼X3中控屏出现闪屏黑屏现象,"H134,",2021-02-22,信息审核
573528,一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾发动机故障报警 低开发票价格,"A34,K308,M315,",2021-02-22,处理反馈
573523,一汽-大众奥迪,奥迪A4L,2016款 2.0T 自动 标准型,一汽大众奥迪A4L冷却液无故缺失,"A37,",2021-02-22,信息审核
573514,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙颠簸路面车门异响 内饰异响,"H72,H164,",2021-02-22,信息审核
573513,长安福特,蒙迪欧,2018款 EcoBoost 180 舒适型,长安福特蒙迪欧变速箱无法挂挡4S店无法解决,"B20,",2021-02-22,处理反馈
573510,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,大众迈腾怠速发动机异响变速箱换挡异响,"A9,B33,",2021-02-22,信息审核
573509,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳行驶过程中变速箱顿挫,"B19,",2021-02-22,用户评分
573506,长安福特,翼虎,2015款 2.0L GTDi 四驱尊贵型 5座,长安福特翼虎油箱加不满油 油耗高 动力不足,"A163,A85,H271,",2021-02-22,处理反馈
573504,北京奔驰,奔驰GLC,2021款 GLC 300 L 4MATIC 动感型,北京奔驰GLC右后侧车窗玻璃无法上升,"H67,",2021-02-22,信息审核
573501,广汽丰田,凯美瑞,2009款 240G 自动 豪华版,广汽丰田凯美瑞中控台软化掉皮,"H157,",2021-02-22,信息审核
573499,BEIJING汽车,BEIJING-EX3,2019款 R600 劲尚版,BEIJING-EX3能量回收失效 导航无法升级,"H146,H21,",2021-02-22,处理反馈
573498,一汽-大众奥迪,奥迪A6L,2021款 40 TFSI 豪华动感型,一汽大众奥迪A6L座椅开线 发动机抖动熄火,"A24,A14,H168,",2021-02-22,信息审核
573496,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 时尚版,奇瑞瑞虎8车灯盲区大影响行车安全,"Q322,",2021-02-22,处理反馈
573494,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞 发动机异响,"A9,A163,A85,A114,",2021-02-22,处理反馈
573489,一汽吉林,森雅R9,2018款 1.2T 自动 尊贵智悦型,一汽吉林森雅R9变速箱故障灯亮无法行驶,"B96,",2021-02-22,信息审核
573487,林肯（进口）,林肯MKZ,2017款 2.0H E-CVT 尊享版,进口林肯MKZ发动机防冻液渗漏质量差,"A24,A37,A191,",2021-02-22,信息审核
573486,广汽丰田,汉兰达,2018款 2.0T 两驱 尊贵版 7座 国VI,广汽丰田汉兰达锁车后右后轮附近有电机声音	,"G125,",2021-02-22,信息审核
573485,上汽集团,荣威350,2014款 1.5L 手动 迅驰版 350S,上汽荣威350正时链条拉长跳齿爬坡熄火,"A14,A45,",2021-02-22,信息审核
573484,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳大灯内部发白不亮影响行车安全,"H82,",2021-02-22,处理反馈
573483,东风雪铁龙,C4世嘉,2016款 1.6L 自动 舒适型,东风雪铁龙C4世嘉转向柱故障方向盘晃动,"D80,",2021-02-22,处理反馈
573481,众泰汽车,大迈X7,2017款 1.8T 手动 尊贵型,众泰大迈X7商家未兑现终身免费基础保养,"L313,",2021-02-22,信息审核
573478,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳转向异响 变速箱异响抖动,"A9,B33,B95,D59,I295,",2021-02-22,处理反馈
573477,上汽大众斯柯达,速派,2016款 TSI330 DSG 智行版,斯柯达速派变速箱控制单元故障要求解决,"B115,",2021-02-22,处理反馈
573474,一汽丰田,卡罗拉,2017款 1.2T S-CVT GL-i 改款,一汽丰田卡罗拉中控台开裂一直未解决,"H176,",2021-02-22,信息审核
573471,广汽丰田,雷凌,2021款 185T CVT 运动版,广汽丰田雷凌低速加速时变速箱顿挫异响,"B33,B19,",2021-02-22,信息审核
573470,东风风行,风行S50EV,2018款 EV 豪华型,东风风行S50EV快充高压线损坏 刹车失灵,"E29,H340,",2021-02-22,处理反馈
573466,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜变速箱故障跳挡厂家无配件,"B27,N318,",2021-02-22,信息审核
573461,吉利汽车,帝豪GL,2018款 1.4T 自动 尊贵智联型,吉利帝豪GL车门以及后备箱生锈,"H79,",2021-02-22,处理反馈
573459,一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 技术型 5座,一汽大众奥迪Q5防冻液水壶发生开裂,"H168,",2021-02-22,信息审核
573458,东风标致,标致308,2018款 1.6L 自动 豪华版,东风标致308后备箱开合过程中铰链挂钩变形,"H68,I292,",2021-02-22,用户评分
573444,一汽-大众,捷达,2012款 1.6 手动 典藏版,一汽大众捷达全车车身生锈腐烂要求处理,"H79,",2021-02-22,处理反馈
573443,华晨宝马,宝马X1,2020款 sDrive25Li 领先型,华晨宝马X1内饰雨刮器刹车异响安全带未报警,"E43,H164,H60,H118,",2021-02-22,处理反馈
573439,广汽丰田,雷凌,2018款 185T CVT 尊贵版 国VI,广汽丰田雷凌中控台异响底盘前悬挂多处生锈,"H79,H93,",2021-02-22,信息审核
573437,广汽乘用车,传祺GS7,2017款 280T 两驱 豪华型,广汽传祺GS7制动系统故障店内不解决问题,"E269,I295,I281,",2021-02-22,信息审核
573436,东风本田,本田CR-V,2021款 240TURBO CVT 两驱 舒适版,东风本田CR-V出现发动机机油增多,"A339,",2021-02-22,信息审核
573435,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电单元故障,"B115,",2021-02-22,信息审核
573434,一汽-大众奥迪,奥迪Q5,2017款 Plus 40 TFSI 动感型,一汽大众奥迪Q5节温器漏冷却液,"A37,",2021-02-22,信息审核
573429,吉利汽车,帝豪GL,2018款 1.4T 手动 精英智联型,吉利帝豪GL变速箱轴承损坏出现异响,"B33,B77,",2021-02-22,信息审核
573427,福特（进口）,探险者（进口）,2017款 2.3T 风尚版,进口福特探险者变速箱异响顿挫无法换挡,"B33,B19,B20,",2021-02-22,信息审核
573426,东风日产,逍客,2017款 2.0L CVT 智享版 国VI,东风日产逍客传感器故障加速无力熄火怠速高,"A14,A35,A160,H234,",2021-02-22,信息审核
573424,广汽本田,缤智,2017款 1.8L CVT 两驱 先锋型,广汽本田缤智冷车启动后发动机异响,"A9,",2021-02-21,信息审核
573423,东风标致,标致3008,2015款 1.6THP 自动 潮流版,东风标致3008发动机气门室盖漏油,"A12,",2021-02-21,处理反馈
573420,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408发动机动力输出不平稳,"A255,",2021-02-21,处理反馈
573419,东风日产,轩逸,2018款 1.6XE CVT 舒适版,东风日产轩逸变速箱异响要求延长质保,"B33,",2021-02-21,厂家受理
573418,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动厂家不解决问题,"A44,I295,",2021-02-21,信息审核
573417,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉发动机机油有汽油味且增多,"A339,",2021-02-21,信息审核
573416,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L冷启动怠速及驻车时抖动,"A24,",2021-02-21,信息审核
573412,华晨宝马,宝马5系,2020款 530Li 领先型 豪华套装,华晨宝马5系方向机异响4S店不予索赔,"D265,I297,",2021-02-21,信息审核
573408,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑4S店更换前风挡裂纹漏水,"H109,H113,J303,",2021-02-21,信息审核
573405,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智变速箱漏油 发动机异响,"A9,B22,G204,J299,",2021-02-21,处理反馈
573404,一汽-大众,宝来,2021款 1.5L 自动 舒适智联版,一汽大众宝来蓝牙及USB均无法播放音乐,"H134,",2021-02-21,处理反馈
573402,长城汽车,炮,2019款 2.0T 商用版 手动 两驱 精英型 长箱 GW4D20M 柴油,长城炮发动机涡轮增压器损坏 售后不予质保,"A189,I297,",2021-02-21,厂家受理
573401,上汽大众斯柯达,速派,2016款 TSI280 DSG 创行版,斯柯达速派夏季暴晒后车内异味很大,"H185,",2021-02-21,处理反馈
573400,东风日产,蓝鸟,2018款 1.6L CVT 智酷潮音版,东风日产蓝鸟行驶时忽然失控导致事故,"D57,",2021-02-21,处理反馈
573399,大众（进口）,高尔夫（进口）,2011款 1.4TSI DSG Cross Golf,进口大众高尔夫发动机活塞爆裂 DVD损坏,"A63,A163,H134,H151,",2021-02-21,信息审核
573398,北京奔驰,奔驰E级,2012款 300 L 优雅型,北京奔驰E级车辆碰撞后安全气囊未弹开,"H55,",2021-02-21,信息审核
573397,奇瑞汽车,艾瑞泽5,2020款 1.5L CVT 运动版,奇瑞艾瑞泽5变速箱漏油更换后抖动,"B22,B95,",2021-02-21,处理反馈
573393,陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7发动机故障灯亮 变速箱顿挫,"A34,B19,",2021-02-21,信息审核
573389,广汽本田,雅阁,2018款 260TURBO 精英版 国VI,广汽本田雅阁转向及中控台有电流声,"D59,H93,",2021-02-21,处理反馈
573388,东风日产,启辰R50X,2015款 1.6L 手动 豪华版,启辰R50X发动机漏防冻液维修未解决,"A37,",2021-02-21,信息审核
573384,一汽-大众,迈腾,2013款 1.8TSI 领先型,一汽大众迈腾挂挡后车辆无法正常行驶,"B334,",2021-02-21,处理反馈
573383,上汽集团,荣威360,2018款 1.5L 手动 尊享版 PLUS,上汽荣威360行驶时仪表盘有异响 A柱异响,"H15,H202,",2021-02-21,信息审核
573379,长城汽车,炮,2020款 2.0T 商用版 自动 柴油 两驱 精英型 长箱 GW4D20M,长城炮发动机故障灯频繁出现导致车辆限速,"A34,",2021-02-21,厂家受理
573378,广汽菲克Jeep,大指挥官,2020款 2.0T 两驱 精英版,广汽菲克Jeep大指挥官置换补贴一直未兑现,"L313,",2021-02-21,厂家受理
573377,长城汽车,风骏7,2020款 2.0T 柴油 两驱 新冠军版 公务型 小双 4D20M,长城风骏7涡轮增压器渗油4S店不予理赔,"A12,A189,I297,",2021-02-21,厂家受理
573375,江铃福特,全顺,2017款 2.0T 多功能商用车 中轴 中顶 国IV 柴油,江铃福特全顺三元催化器故障导致故障灯亮,"H54,",2021-02-21,信息审核
573373,上汽大众,凌渡,2015款 330TSI DSG 豪华版,上汽大众凌渡车内隔音棉有严重的异味,"H185,",2021-02-21,处理反馈
573371,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳多次提示冷却液减少希望处理,"A191,",2021-02-21,处理反馈
573370,领克,领克02,2019款 2.0T 自动 两驱 劲Pro版 国VI 高能版,领克02发动机启动困难影响正常使用,"A44,",2021-02-21,处理反馈
573363,一汽-大众奥迪,奥迪A3,2020款 Sportback 35 TFSI 进取型 国VI,一汽大众奥迪A3自动启停报警 转向失灵导致事故,"D57,H263,",2021-02-21,信息审核
573359,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 悬挂下支臂异响,"A63,G56,",2021-02-21,处理反馈
573358,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5原地转向异响 右前减震器颠簸异响,"D59,G52,",2021-02-21,处理反馈
573356,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度车身生锈希望尽快处理,"H79,",2021-02-21,处理反馈
573354,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电单元故障,"B115,",2021-02-21,用户评分
