id,brand,car_model,type,desc,problem,datetime,status
573349,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳大灯发白 亮度不足,"H82,",2021-02-21,处理反馈
573348,广汽三菱,欧蓝德,2020款 2.4L 四驱 致享版 5座,广汽三菱欧蓝德方向盘抖动 发动机噪音大,"A38,D80,",2021-02-21,厂家受理
573345,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲亚特菲翔里程表闪烁无时间显示,"H202,",2021-02-21,厂家受理
573344,长安福特,锐际,2020款 EcoBoost 245 两驱 聪慧悦享款,长安福特锐际停放几天后远程启动无法使用,"H146,H155,",2021-02-21,用户评分
573343,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 进取型,捷达VS5定速巡航异常 右后门密封条老化,"H79,H48,H253,",2021-02-21,处理反馈
573342,上汽通用五菱,宝骏310W,2017款 1.5L 手动 时尚型 国VI,宝骏310W出现交通事故气囊未弹开,"H55,",2021-02-21,处理反馈
573339,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,长安福特锐际左侧行车灯模块损坏,"H64,",2021-02-21,处理反馈
573337,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客怠速突然升高 故障灯亮,"A34,",2021-02-21,处理反馈
573336,华晨宝马,宝马5系,2021款 525Li M运动套装,华晨宝马5系空调无法制冷存在质量问题,"H101,",2021-02-21,信息审核
573335,北京现代,名图,2016款 1.8L 自动 智能型GLS,北京现代名图主驾驶遮阳板断裂希望厂家处理,"H168,",2021-02-21,信息审核
573333,长安汽车,长安欧尚A600,2016款 1.5L 豪华型 7座,长安欧尚A600漆面起泡 车身锈穿,"H79,H81,",2021-02-21,厂家受理
573332,奇瑞汽车,瑞虎7,2020款 1.5T CVT 豪华型,奇瑞瑞虎7车灯起雾进水希望厂家处理,"H88,H220,",2021-02-21,处理反馈
573331,华晨宝马,宝马X1,2018款 sDrive18Li 尊享型,华晨宝马X1踩刹车时异响希望厂家处理,"E43,",2021-02-21,信息审核
573329,吉利汽车,缤越,2020款 PRO 240T DCT 猎手,吉利缤越4S店贷款购车月供金额有欺诈嫌疑,"K307,",2021-02-21,处理反馈
573327,华晨宝马,宝马X3,2021款 xDrive28i M运动套装,华晨宝马X3热管理模块故障导致冷却液泄漏,"A37,A191,",2021-02-21,信息审核
573325,北京奔驰,奔驰GLC,2021款 GLC 260 L 4MATIC 动感型,北京奔驰GLC发动机启动困难希望换车,"A44,",2021-02-21,信息审核
573324,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L变速箱处于紧急运行模式,"B115,",2021-02-21,处理反馈
573322,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越系统提示电源不稳定车机无法显示,"H134,",2021-02-21,用户评分
573312,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾刹车盘异常磨损异响 刹车软,"E43,E269,E47,",2021-02-21,处理反馈
573310,一汽-大众,一汽-大众CC,2021款 330TSI 上市特别版,一汽大众CC新车发动机抱瓦异响抖动,"A9,A24,A328,",2021-02-21,用户评分
573299,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客漆面起泡疑似出售问题车,"H81,M284,",2021-02-21,处理反馈
573298,广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度冷车启动有打齿异响,"A9,",2021-02-21,处理反馈
573295,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏排气管冒黑烟变速箱顿挫,"A114,B19,",2021-02-21,处理反馈
573291,一汽海马,福美来,2017款 1.6L 自动 豪华型,一汽海马福美来发动机异响厂家拒绝质保,"A9,L314,",2021-02-21,信息审核
573290,长安跨越,跨越王X1,2018款 1.2L 标准型 单排 后双轮 加长货箱 LJ469Q-AEB,长安跨越王X1车身高度不一致要求换车,"G204,",2021-02-21,处理反馈
573287,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,雪铁龙C4L发动机烧机油 后视镜折叠电机故障,"A63,H211,",2021-02-21,处理反馈
573286,江淮汽车,瑞风S4,2020款 1.5T CVT 超越型,江淮瑞风S4发动机噪音大希望处理,"A38,",2021-02-21,处理反馈
573285,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞底盘生锈 天窗异响,"A12,H79,H89,",2021-02-21,信息审核
573284,东风本田,本田UR-V,2017款 370TURBO 两驱 尊贵版 国V,东风本田UR-V发动机冷启动异响厂家未解决,"A9,",2021-02-21,处理反馈
573281,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸变速箱顿挫异响希望厂家处理,"B33,B19,",2021-02-21,处理反馈
573280,吉利新能源,嘉际新能源,2019款 1.5TD PHEV 耀享型,吉利嘉际新能源购车时承诺赠送充电桩未兑现,"I293,L313,",2021-02-21,处理反馈
573277,吉利汽车,缤瑞,2018款 14T CVT 缤致版,吉利缤瑞车门生锈4S店使用非原厂配件,"H79,N319,",2021-02-21,处理反馈
573276,一汽-大众奥迪,奥迪Q5,2015款 40 TFSI 舒适型 5座,一汽大众奥迪Q5水泵节温器漏水有缺陷,"A37,",2021-02-21,信息审核
573274,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L前大灯内部出现熔化痕迹,"H220,",2021-02-21,信息审核
573272,上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路风尚版,上汽大众途观底盘异响严重影响驾驶,"G56,",2021-02-21,处理反馈
573270,北京现代,菲斯塔,2019款 280TGDi 智速版 国V,北京现代菲斯塔方向盘异响希望厂家处理,"D59,",2021-02-21,信息审核
573265,东风日产,轩逸,2020款 改款 1.6L XL CVT 悦享版,东风日产轩逸变速箱失速自动熄火,"A14,B246,",2021-02-21,处理反馈
573258,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,"A34,",2021-02-21,处理反馈
573254,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408发动机抖动希望厂家质保,"A24,A191,",2021-02-21,处理反馈
573250,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜变白通透性差车灯不亮,"H82,",2021-02-21,处理反馈
573249,长安福特,锐界,2016款 EcoBoost 245 两驱 精锐型,长安福特锐界行驶中右前半轴异响,"G56,",2021-02-21,处理反馈
573248,一汽-大众,宝来,2016款 1.6L 手动 舒适型,一汽大众宝来车内异味严重无法去除,"H185,",2021-02-21,处理反馈
573246,东风日产,奇骏,2014款 2.0L XE CVT 两驱 时尚版,东风日产奇骏变速箱故障车辆无法行驶,"B115,",2021-02-21,处理反馈
573245,长城汽车,哈弗大狗,2021款 1.5T DCT 拉布拉多版,哈弗大狗频繁出现熄火发动机报警,"A14,",2021-02-21,处理反馈
573242,东风本田,本田XR-V,2020款 220 TURBO CVT 豪华版,东风本田XR-V发动机漏油厂家不解决,"A12,",2021-02-21,处理反馈
573241,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田致享行驶中发动机异响严重,"A9,",2021-02-21,信息审核
573238,陆风汽车,陆风X7,2018款 1.5T 铂金版 劲越,陆风X7右前侧车灯不亮厂家未解决问题,"H82,",2021-02-21,信息审核
573235,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油减震器异响,"A63,G52,",2021-02-21,处理反馈
573234,北京现代,索纳塔,2020款 270TGDi GLS DCT 精英版,北京现代索纳塔发动机漏油存在质量问题,"A12,",2021-02-21,信息审核
573233,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁发动机漏油希望厂家处理,"A12,A191,",2021-02-21,处理反馈
573230,上汽集团,荣威950,2012款 2.0L 舒适版,上汽荣威950车内隔音棉有明显异味,"H185,",2021-02-21,用户评分
573229,上汽大众斯柯达,柯珞克,2019款 TSI280 智行豪华版 国V,斯柯达柯珞克购车置换补贴没有兑现,"L313,",2021-02-21,处理反馈
573228,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞驱动半轴胶套漏油,"G51,",2021-02-21,信息审核
573226,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智启动时发动机异响严重,"A9,",2021-02-21,处理反馈
573225,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5中控仪表盘存在有异响,"H93,",2021-02-21,处理反馈
573216,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL左后门下方车漆鼓包生锈,"H79,",2021-02-21,处理反馈
573214,江淮汽车,瑞风S2,2015款 1.5L CVT 豪华智能型,江淮瑞风S2方向盘卡滞行驶中有异响,"D123,",2021-02-21,用户评分
573213,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏幕开裂,"H134,",2021-02-21,用户评分
573208,上汽大众,途观L,2019款 330TSI 自动 两驱 智动豪华版 国V,上汽大众途观L保养时发现发动机漏油,"A12,",2021-02-21,处理反馈
573207,上汽大众,帕萨特新能源,2019款 430PHEV 混动 豪华版,上汽大众帕萨特新能源变速箱机电单元故障,"B115,",2021-02-21,处理反馈
573203,一汽-大众,速腾,2021款 280TSI DSG 豪华智联版,一汽大众速腾发动机异响售后未解决问题,"A9,",2021-02-21,处理反馈
573199,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱处于紧急运行模式,"B96,B84,",2021-02-21,处理反馈
573198,长安汽车,长安UNI-T,2020款 1.5T 尊贵型,长安UNI-T刹车异响希望厂家处理问题,"E43,",2021-02-21,处理反馈
573193,比亚迪,比亚迪S2,2019款 创·豪华型,比亚迪S2全车断电存在质量问题,"H343,",2021-02-21,处理反馈
573190,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱电脑板故障挡位丢失,"B115,",2021-02-21,处理反馈
573189,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳发动机异响 启停系统故障,"A9,H169,H263,",2021-02-21,处理反馈
573188,东风日产,启辰T70,2018款 2.0L CVT 睿趣版,东风启辰T70因电路问题着火自燃,"H40,",2021-02-21,处理反馈
573184,北京现代,北京现代ix25,2020款 1.5L CVT 尊贵型,北京现代ix25新车出现2次电瓶亏电,"H146,",2021-02-21,信息审核
573181,华晨中华,中华V3,2016款 1.5L 手动 精英型,华晨中华V3 ABS泵损坏厂家无配件,"E74,N318,",2021-02-21,信息审核
573179,长安汽车,长安CS95,2017款 2.0T 两驱 智远版,长安CS95车机系统出现故障自动重启,"H155,",2021-02-21,处理反馈
573173,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙机油乳化增多存在质量问题,"A339,A13,",2021-02-21,信息审核
573172,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱无奇数挡存在质量问题,"B20,B84,",2021-02-21,用户评分
573171,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放后尾灯灯罩开裂进水,"H88,H220,I295,",2021-02-21,信息审核
573165,长安福特,翼虎,2017款 EcoBoost 180 两驱 精翼型,长安福特翼虎车内异味希望厂家处理问题,"H185,",2021-02-21,处理反馈
573163,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L变速箱异响希望尽快处理,"B33,",2021-02-20,处理反馈
573161,北京现代,菲斯塔,2019款 280TGDi 运动版 国VI,北京现代菲斯塔保养记录未上传影响质保,"J299,",2021-02-20,信息审核
573157,一汽-大众,宝来,2016款 1.6L 手动 舒适型,一汽大众宝来车身生锈刹车与方向机异响,"D59,E43,H79,",2021-02-20,处理反馈
573151,吉利汽车,嘉际,2021款 1.8TD DCT 豪华型,吉利嘉际经销商承诺提供旅游基金未兑现,"L313,",2021-02-20,处理反馈
573150,东风日产,天籁,2021款 2.0L XL 舒适版,东风日产天籁前挡玻璃有裂痕希望厂家处理,"H113,",2021-02-20,处理反馈
573146,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱处于紧急运行模式,"B19,B96,",2021-02-20,处理反馈
573145,一汽丰田,卡罗拉,2021款 1.2T S-CVT 先锋版,一汽丰田卡罗拉变速箱顿挫异响严重,"B33,B19,",2021-02-20,信息审核
573143,海马汽车,海马S5,2018款 1.5T CVT 旗舰型,海马S5中控黑屏360倒车影像有误差,"H134,",2021-02-20,信息审核
573138,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动更换转向柱后异响未能解决,"D59,",2021-02-20,信息审核
573137,东风本田,艾力绅,2019款 2.0L 混动至尊版,东风本田艾力绅行驶中深踩油门排放报警,"A34,",2021-02-20,处理反馈
573134,长安福特,翼虎,2015款 1.5L GTDi 两驱风尚型 5座,长安福特翼虎左后轮下摆臂生锈断裂,"G210,",2021-02-20,处理反馈
573133,一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙机油增多无法解决,"A339,",2021-02-20,信息审核
573132,长安福特,蒙迪欧,2018款 EcoBoost 200 时尚型,长安福特蒙迪欧发票时间提前导致脱保,"I281,O353,",2021-02-20,处理反馈
573130,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳颗粒捕捉器堵塞油耗增加,"A85,A114,",2021-02-20,处理反馈
573129,北京越野,北京BJ20,2018款 1.5T CVT 豪华型,北京BJ20右门车漆脱落 左后门开启异响,"H81,H72,",2021-02-20,处理反馈
573128,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6转向异响 车漆开裂 胎压报警,"D59,H81,H203,",2021-02-20,处理反馈
573127,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉行驶中后悬挂异响,"G56,G204,",2021-02-20,用户评分
573118,一汽-大众,速腾,2014款 1.6L 自动 舒适型 改款,一汽大众速腾车灯老化脱落存在质量问题,"H220,",2021-02-20,处理反馈
573117,东风日产,天籁,2020款 2.0L XL 舒适版,东风日产天籁更换发动机后容易熄火,"A14,",2021-02-20,处理反馈
573114,广汽本田,飞度,2006款 飞度 1.5 CVT,广汽本田飞度变速箱D挡失灵出现窜车现象,"B246,",2021-02-20,处理反馈
573111,奇瑞汽车,艾瑞泽5,2016款 1.5L 手动 领跑版,奇瑞艾瑞泽5全车多处生锈无法解决,"H79,",2021-02-20,处理反馈
573110,广汽乘用车,传祺GS5 Super,2016款 1.8T 自动 四驱 豪华导航版,广汽传祺GS5 Super车顶大面积掉漆,"H81,",2021-02-20,用户评分
573109,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客发动机故障4S店反复消除故障码,"A34,",2021-02-20,处理反馈
573107,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 运动版,广汽丰田雷凌中控台主驾驶一侧下饰板开裂,"H168,",2021-02-20,信息审核
573103,一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚版,一汽丰田RAV4荣放主副驾驶车窗晃动异响,"H72,",2021-02-20,信息审核
573091,上汽大通,上汽大通MAXUS G50,2021款 1.5T 自动 尊享版,上汽大通MAXUS G50关闭ESP后变速箱抖动,"B95,",2021-02-20,处理反馈
573089,一汽红旗,红旗H5,2020款 1.5T DCT 旗韵版,一汽红旗H5优科豪马轮胎未受外力出现鼓包,"F39,",2021-02-20,信息审核
573088,长城汽车,哈弗H2s,2017款 1.5T 自动 精英型 红标,哈弗H2s胎压监测传感器故障4S店无配件,"H203,N318,",2021-02-20,处理反馈
573087,吉利汽车,帝豪GL,2019款 1.4T CVT 精英智享版,吉利帝豪GL前风挡玻璃密封条翘起,"H48,",2021-02-20,处理反馈
573083,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版,奇瑞瑞虎8内饰异响一直未得到解决,"H164,",2021-02-20,处理反馈
573081,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机异响拉缸,"A9,A329,",2021-02-20,厂家受理
573075,吉利新能源,帝豪新能源,2016款 EV 精英型 三厢,吉利帝豪新能源空调暖风加热器损坏,"H101,",2021-02-20,处理反馈
573074,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 标准型 30周年年型,一汽大众奥迪Q3转向异响希望尽快处理,"D59,",2021-02-20,信息审核
573073,一汽-大众奥迪,奥迪Q5,2017款 2.0T 40 TFSI 技术型,一汽大众奥迪Q5刹车异响一直未解决,"E43,I295,",2021-02-20,信息审核
573072,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质炫版,长安马自达昂克赛拉中控屏幕自动重启,"H134,J298,",2021-02-20,处理反馈
573066,领克,领克01,2019款 2.0T 两驱型 Pro版 国VI,领克01启动时发动机异响4S店无法解决,"A9,",2021-02-20,处理反馈
573065,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放行驶中前排车窗玻璃异响,"H72,",2021-02-20,信息审核
573064,吉利汽车,缤越,2019款 260T DCT 游侠 运动款 国V,吉利缤越4S店安装挡泥板操作流程不规范,"J299,",2021-02-20,处理反馈
573062,上汽集团,荣威360,2018款 1.5L 手动 豪华版 PLUS,上汽荣威360发动机故障无法启动要求解决,"A44,I297,",2021-02-20,处理反馈
573060,吉利汽车,帝豪GS,2019款 1.4T CVT 雅,吉利帝豪GS变速箱异响转向异响车机卡顿,"B33,D59,H134,",2021-02-20,处理反馈
573059,东风雪铁龙,天逸 C5 AIRCROSS,2020款 400THP 旗舰型,东风雪铁龙天逸C5 AIRCROSS发动机缺缸,"A24,A34,",2021-02-20,处理反馈
573057,一汽-大众奥迪,奥迪Q3,2017款 35 TFSI 时尚型,一汽大众奥迪Q3变速箱机电单元损坏故障灯亮,"B96,B84,",2021-02-20,信息审核
573054,一汽-大众,高尔夫,2016款 1.4TSI 自动 R-Line,一汽大众高尔夫变速箱机电单元损坏,"B115,",2021-02-20,用户评分
573053,吉利汽车,远景X6,2016款 1.8L 手动 豪华型,吉利远景X6油箱口与十字轴生锈 密封条脱落,"H79,H48,",2021-02-20,处理反馈
573052,一汽-大众,迈腾,2020款 330TSI DSG 领先型,一汽大众迈腾变速箱机电控制单元故障,"B84,B115,",2021-02-20,处理反馈
573051,一汽奔腾,奔腾B70,2021款 1.5T 自动 尊享型,一汽奔腾B70电子挡把同款不同配置望解决,"H264,",2021-02-20,处理反馈
573050,一汽-大众奥迪,奥迪Q3,2015款 35 TFSI 舒适型,一汽大众奥迪Q3日间行灯出现发黄现象,"H82,",2021-02-20,信息审核
573048,华晨宝马,宝马X1,2014款 sDrive18i 运动设计套装 5座,华晨宝马X1转向助力失效导致打方向沉重,"D156,D57,",2021-02-20,信息审核
573047,零跑汽车,零跑S01,2020款 460 标准版,零跑S01续航能力充电时间相差很大,"M284,",2021-02-20,信息审核
573044,BEIJING汽车,绅宝D50,2019款 1.5L CVT 豪华版 国V,绅宝D50经销商更换变速箱油后出现异响,"B33,J300,",2021-02-20,用户评分
573039,东风乘用车,奕炫GS,2020款 230T 自动 越酷版,东风风神奕炫GS右前侧半轴出现漏油的现象,"G51,",2021-02-20,处理反馈
573038,东南汽车,东南DX3,2017款 1.5T 手动 旗舰型,东南DX3车辆行驶时转向异响严重,"D59,",2021-02-20,处理反馈
573037,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾高压泵异响厂家不予解决,"A9,",2021-02-20,处理反馈
573035,上汽大众斯柯达,昕锐,2018款 1.6L 手动 舒适版,斯柯达昕锐变速箱漏油行驶时变速箱有异响,"B33,B22,",2021-02-20,处理反馈
573034,东风本田,本田UR-V,2020款 370TURBO 四驱 尊享版,东风本田UR-V发动机变速箱连接处渗油,"B22,",2021-02-20,处理反馈
573033,吉利汽车,帝豪GS,2018款 1.4T 手动 运动版 领尚型,吉利帝豪GS离合器不回弹导致无法挂挡,"C267,",2021-02-20,处理反馈
573032,吉利汽车,远景X6,2020款 1.4T 手动 尊贵型,吉利远景X6车门中控风挡玻璃后备箱异响,"H15,H72,H93,H164,",2021-02-20,处理反馈
573030,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳后排座椅异响 中控台异响,"H93,H169,",2021-02-20,处理反馈
573028,广汽丰田,凯美瑞,2008款 240G 2.4 自动 NAVI 豪华导航版,广汽丰田凯美瑞仪表台老化影响驾驶安全,"H176,",2021-02-20,信息审核
573027,广汽本田,凌派,2019款 180Turbo CVT 豪华版 国VI,广汽本田凌派涡轮增压器故障变速箱漏油,"A189,B22,",2021-02-20,处理反馈
573025,上汽大众,途观,2017款 300TSI 自动 两驱 丝绸之路舒适版,上汽大众途观底盘异响 喷油嘴漏油,"A53,G56,",2021-02-20,处理反馈
573023,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动时发动机出现打齿声,"A9,",2021-02-20,处理反馈
573020,上汽集团,名爵3,2013款 1.3L 手动 舒适版,上汽名爵3发动机异响 正时链条拉长,"A45,",2021-02-20,用户评分
573019,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机烧机油希望厂家解决,"A63,",2021-02-20,处理反馈
573016,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯发白夜晚亮度不足,"H82,",2021-02-20,处理反馈
573015,东风本田,本田UR-V,2020款 370TURBO 两驱 尊雅版,东风本田UR-V低速松开刹车踏板有明显异响,"E43,",2021-02-20,处理反馈
573014,江淮汽车,瑞风S2,2016款 1.5L CVT 豪华型 双色版,江淮瑞风S2 TCU电脑模块故障报警,"B96,H170,I295,",2021-02-20,处理反馈
573013,华晨宝马,宝马3系,2021款 320Li M运动套装,华晨宝马3系新车行驶中转向灯不亮,"H82,",2021-02-20,信息审核
573012,奇瑞汽车,捷途X70 PLUS,2021款 1.5T 手动 林 7座,捷途X70 PLUS行驶时中控异响严重,"H93,",2021-02-20,用户评分
573011,广汽菲克Jeep,自由侠,2018款 互联大屏版 180TS 自动 高能版,广汽菲克Jeep自由侠车身抖动严重,"H268,",2021-02-20,厂家受理
573010,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧发动机节气门处存在大量机油,"A12,",2021-02-20,处理反馈
573009,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S厂家合伙人得奖励金活动未兑现,"L313,",2021-02-20,信息审核
573005,长安福特,翼虎,2018款 EcoBoost 180 两驱 豪翼型 改款,长安福特翼虎固特异轮胎起皮要求处理,"F186,",2021-02-20,处理反馈
573004,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳漆面脱落颗粒捕捉器堵塞,"A114,H81,",2021-02-20,处理反馈
572999,上汽大众,途观,2016款 300TSI 自动 四驱 豪华版,上汽大众途观四驱耦合器有异响和抖动,"H86,",2021-02-20,处理反馈
572998,上汽大众,途安,2018款 途安L 280TSI 自动 豪华版 7座,上汽大众途安变速器和转向异响4S店无法处理,"B33,D59,",2021-02-20,处理反馈
572997,江铃汽车,域虎7,2020款 2.0T 柴油 手动 四驱 舒享版 长轴 国VI JX4D20A6L,江铃域虎7前桥漏油希望尽快处理问题,"G51,",2021-02-20,信息审核
572994,长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧进气管有机油 油箱无法加满,"A12,H271,",2021-02-20,用户评分
